=== Job started on Wed 29 Apr 23:29:16 WEST 2026 ===
Running on node(s): cnx027
Python executable: /projects/F202508983CPCAA0/jcorreia/work/react_selection_x86/bin/python
Python 3.12.3
sys.path ok, site: 
Embedder: smarts_transformer
FP output : data/processed/template_fingerprints_smarts_256.npy
Meta output: data/processed/template_metadata.parquet
23:29:50  INFO     === Template fingerprint pre-computation ===
23:29:50  INFO     Templates : /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/data/processed/retrorules-merged.csv
23:29:50  INFO     embedder=smarts_transformer
23:29:53  INFO     Loaded 361751 templates from /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/data/processed/retrorules-merged.csv
23:29:53  INFO     Loading SMARTS transformer from /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/models/smarts_embedder
23:30:49  INFO     SMARTS transformer loaded  dim=256
04:06:25  INFO     Embedded 187000 / 361751  (51.7%)  ETA 15453s
04:08:46  INFO     Embedded 188000 / 361751  (52.0%)  ETA 15413s
04:10:45  INFO     Embedded 189000 / 361751  (52.2%)  ETA 15352s
04:12:53  INFO     Embedded 190000 / 361751  (52.5%)  ETA 15299s
04:15:23  INFO     Embedded 191000 / 361751  (52.8%)  ETA 15264s
04:18:12  INFO     Embedded 192000 / 361751  (53.1%)  ETA 15245s
04:19:08  INFO     Embedded 193000 / 361751  (53.4%)  ETA 15126s
04:20:30  INFO     Embedded 194000 / 361751  (53.6%)  ETA 15029s
04:23:40  INFO     Embedded 195000 / 361751  (53.9%)  ETA 15026s
04:24:32  INFO     Embedded 196000 / 361751  (54.2%)  ETA 14904s
04:25:47  INFO     Embedded 197000 / 361751  (54.5%)  ETA 14801s
04:27:18  INFO     Embedded 198000 / 361751  (54.7%)  ETA 14712s
04:29:01  INFO     Embedded 199000 / 361751  (55.0%)  ETA 14633s
04:30:25  INFO     Embedded 200000 / 361751  (55.3%)  ETA 14538s
04:33:18  INFO     Embedded 201000 / 361751  (55.6%)  ETA 14515s
